date,description,image_url,news_url,title
2026-01-11,පසුගිය දින කිහිපය තුළ දිවයිනේ ප්‍රදේශ කිහිපයකට බලපා තිබූ ගංවතුර ඇතිවීමේ අවදානම මේ වන විට පහව ගොස් ඇති බව වාරිමාර්ග දෙපාර්තමේන්තුව නිවේදනය කරනවා.ඒ...,https://cdn.hirunews.lk/Data/News_Images/202601/1768148305_5092003_hirunews.jpg,440191/flood-risk-ends-early-warning-lifted,ගංවතුර අවදානම නිමාවෙයි: පූර්ව දැනුම්දීම ඉවතට
2026-01-11,වර්ෂාව හේතුවෙන් ආරම්භය පමා වූ සංචාරක පාකිස්ථාන - ශ්‍රී ලංකා තෙවැනි සහ අවසන් පන්දුවාර 20 තරගයේ කාසියේ වාසිය හිමිකර ගැනීමට අද (11) පාකිස්ථානය සමත්...,https://cdn.hirunews.lk/Data/News_Images/202601/1768145935_2474381_hirunews.jpg,sports/440187/pakistan-wins-the-toss-in-the-final-match,අවසන් තරගයේ කාසියේ වාසිය පාකිස්ථානයට
2026-01-11,චීන විදේශ අමාත්‍ය වැන්ග් යී (Wang Yi) දෙදින නිල සංචාරයක් සඳහා අද (11) රාත්‍රියේ දිවයිනට පැමිණීමට නියමිත බව විදේශ කටයුතු අමාත්‍යාංශය නිවේදනය කරනවා.චීන...,https://cdn.hirunews.lk/Data/News_Images/202601/1768145264_4499541_hirunews.jpg,440186/chinese-foreign-minister-to-visit-the-island-today,චීන විදේශ අමාත්‍යවරයා අද දිවයිනට
2026-01-11,"බේරුවල, කිච්චිමලේ පල්ලිය ආසන්න මුහුදු තීරයේ දිය නෑමට ගිය විශ්‍රාමික දුම්රිය නිලධාරියෙකු දියවැලකට හසුවී අවාසනාවන්ත ලෙස ජීවිතක්ෂයට පත්ව තිබෙනවා.මෙලෙස...",https://cdn.hirunews.lk/Data/News_Images/202601/1768142409_9159614_hirunews.jpg,440181/a-retired-railway-officer-who-went-swimming-in-the-sea-was-caught-in-a-tidal-wave-and-died,මුහුදේ දිය නෑමට ගිය විශ්‍රාමික දුම්රිය නිලධාරියෙකු දියවැලකට හසුවී ජීවිතක්ෂයට
2026-01-11,"උතුරු, උතුරු මැද, ඌව, නැගෙනහිර සහ මධ්‍යම යන පළාත්වලට මෙන්ම හම්බන්තොට දිස්ත්‍රික්කයේත් හෙට (12) දිනයේ ද වැසි ඇති විය හැකි බව කාලගුණ විද්‍යා...",https://cdn.hirunews.lk/Data/News_Images/202601/1768139473_2190397_hirunews.jpg,440177/rain-in-several-areas-tomorrow-as-well,හෙටත් ප්‍රදේශ කිහිපයකට වැසි
2026-01-11,සංචාරක පාකිස්ථාන - ශ්‍රී ලංකා තෙවැනි සහ අවසන් පන්දුවාර 20 තරගයේ ආරම්භයටද වර්ෂාවෙන් බාධා එල්ල වී තිබෙනවා.ඒ අනුව පස්වරු 06.30ට පැවැත්වීමට තිබූ කාසියේ...,https://cdn.hirunews.lk/Data/News_Images/202601/1768136945_5871633_hirunews.jpg,sports/440174/rain-disrupts-start-of-pakistan-sri-lanka-final,පාකිස්ථාන - ශ්‍රී ලංකා අවසන් තරගය ආරම්භයටත් වර්ෂාවෙන් බාධා
2026-01-11,"පාකිස්ථානයේ අගනුවර පිහිටි නිවසක පැවැති මංගල සාදයකින් අනතුරුව, අද (11) අලුයම සිදුවූ ගෑස් සිලින්ඩර පිපිරීමකින් අලුත විවාහ වූ මනාලයා සහ මනාලිය ඇතුළු...",https://cdn.hirunews.lk/Data/News_Images/202601/1768133946_9556752_hirunews.jpg,440171/gas-explosion-turns-wedding-party-into-funeral-bride-and-groom-die,මංගල සාදය මළගෙයක් කළ ගෑස් පිපුරුම : මනාල යුවළ මරුට
2026-01-11,දිවයිනේ විවිධ ප්‍රදේශවල ත්‍රීරෝද රථ සොරාගෙන එහි චැසි අංක සහ පාට වෙනස් කොට ව්‍යාජ ලෙස ලියකියවිලි සකසා අලෙවි කිරීමේ ජාවාරමක තොරතුරු අනාවරණ වී තිබෙනවා....,https://cdn.hirunews.lk/Data/News_Images/202601/1768132148_4248877_hirunews.jpg,440169/details-of-a-racket-in-which-three-wheelers-were-stolen-chassis-numbers-changed-and-then-sold-are-revealed,ත්‍රීරෝද රථ සොරාගෙන චැසි අංක වෙනස් කොට අලෙවි කළ ජාවාරමක තොරතුරු හෙළි වෙයි
2026-01-11,සීමාසහිත කටුගම්පල විවිධ සේවා සමූපකාර සමිතියේ මහ සභාව සඳහා සභිකයන් තෝරා පත් කර ගැනීමට ඊයේ (10) පැවැති මැතිවරණයෙන් විශිෂ්ට ජයග්‍රහණයක් අත්කර ගැනීමට...,https://cdn.hirunews.lk/Data/News_Images/202601/1768131064_5895098_hirunews.jpg,440167/sjb-led-opposition-scores-a-landslide-victory-in-katugampala-cooperative-election,සජබ ප්‍රමුඛ විපක්ෂයට කටුගම්පල සමූපකාර ඡන්දයෙන් විශිෂ්ට ජයක්
2026-01-11,ශ්‍රී ලංකාවේ අපනයන හැකියාවන් සහ ආයෝජන අවස්ථා ප්‍රවර්ධනය කිරීමේ අරමුණින් ශ්‍රී ලංකා එක්ස්පෝ 2026 නමින් ජාත්‍යන්තර ප්‍රදර්ශනයක් පවත්වන බව ශ්‍රී ලංකා...,https://cdn.hirunews.lk/Data/News_Images/202601/1768130462_9564611_hirunews.jpg,440164/sri-lanka-expo-2026-international-exhibition-from-june-18-to-21,'ශ්‍රී ලංකා එක්ස්පෝ 2026' ජාත්‍යන්තර ප්‍රදර්ශනය ජුනි මස 18 සිට 21 දක්වා
2026-01-11,"වෙනිසියුලානු ජනාධිපති නිකොලස් මදුරෝ පැහැර ගැනීම සඳහා අමෙරිකාවට සහාය දුන් බවට සැකපිට පුද්ගලයන් 60 දෙනෙකු අත්අඩංගුවට ගෙන තිබෙනවා. ඒ, නිකරගුවාහි...",https://cdn.hirunews.lk/Data/News_Images/202601/1768129448_1373560_hirunews.jpg,440163/60-arrested-for-helping-us-kidnap-maduro,මදුරෝ පැහැර ගැනීම සඳහා අමෙරිකාවට සහාය දුන් 60 ක් අල්ලයි
2026-01-11,කොකේන් නමැති මත්ද්‍රව්‍ය ළඟ තබාගෙන සිටි බව කියන නීතිඥවරයෙක් සහ ඔහු සමග සිටි තවත් පුද්ගලයින් සිව් දෙනෙකු මිරිස්ස ප්‍රදේශයේ හෝටලයකදී අත්අඩංගුවට ගත් බව...,https://cdn.hirunews.lk/Data/News_Images/202601/1768128265_1658799_hirunews.jpg,440159/five-people-including-a-lawyer-arrested-for-possession-of-drugs,මත්ද්‍රව්‍ය ළඟ තබාගත්තැයි නිතීඥවරයකු ඇතුළු පහක් දැලේ
2026-01-11,ජපානයේ මුහුදුබඩ ප්‍රදේශවලට ඉදිරියේදී තද සුළං සහිත දැඩි හිම කුණාටු තත්වයක් ඇති විය හැකි බව එරට කාලගුණ අංශ නිවේදනය කර තිබෙනවා. ඒ අනුව ජපානයේ උතුරු...,https://cdn.hirunews.lk/Data/News_Images/202601/1768126859_6500343_hirunews.jpg,440156/blizzard-risk-for-coastal-areas-of-japan,ජපානයේ මුහුදුබඩ ප්‍රදේශවලට හිම කුණාටු අවදානමක්
